address,district,area,bedrooms,garage,rent,total,zone,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet
Rua Herval,Belenzinho,21,1,0,2400,2939,Leste,False,False,False,True
Avenida Sao Miguel,Outros,15,1,1,1030,1345,Outro,False,False,False,True
Rua Oscar Freire,Pinheiros,18,1,0,4000,4661,Oeste,True,False,False,False
Rua Julio Sayago,Outros,56,2,2,1750,1954,Outro,False,False,True,False
Rua Barata Ribeiro,Bela Vista,19,1,0,4000,4654,Centro,False,False,False,True
Rua Domingos Paiva,Bras,50,2,1,3800,4587,Outro,True,False,False,False
Rua Guararapes,Brooklin Paulista,72,2,1,3500,5187,Outro,True,False,False,False
Avenida Casper Libero,Centro,26,1,0,1727,2244,Outro,False,False,False,True
Rua Jose Peres Campelo,Piqueri,32,2,0,1200,1592,Outro,True,False,False,False
Rua Guaperuvu,Vila Aricanduva,36,1,0,1200,1501,Outro,True,False,False,False
Rua dos Carmelitas,Se,63,2,0,1500,2020,Outro,True,False,False,False
Rua Tabatinguera,Se,34,1,0,1000,1406,Outro,True,False,False,False
Rua Henrique Sertorio,Tatuape,32,1,0,2100,2598,Outro,False,False,False,True
Rua Herison,Lauzane Paulista,50,3,0,1437,1517,Outro,False,False,True,False
Rua Orestes Barbosa,Outros,70,2,1,1600,1768,Outro,False,True,False,False
Rua Scuvero,Cambuci,75,2,0,2266,2422,Centro,False,True,False,False
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,1530,2049,Centro,True,False,False,False
Rua Conselheiro Furtado,Liberdade,28,1,0,2300,2750,Centro,False,False,False,True
Rua Guaraiuva,Cidade Moncoes,30,1,1,2394,2538,Outro,False,True,False,False
Rua Torres da Barra,Agua Branca,32,1,0,1764,2177,Outro,True,False,False,False
Rua Guarapuava,Mooca,36,1,0,1850,2281,Leste,True,False,False,False
Rua dos Estudantes,Se,30,1,0,1700,2066,Outro,True,False,False,False
Rua Fernando de Noronha,Chacara Inglesa,62,2,1,2700,3754,Outro,True,False,False,False
Avenida Condessa Elizabeth de Robiano,Outros,40,2,1,1900,2233,Outro,True,False,False,False
Rua Nadir,Outros,54,2,1,2000,2536,Outro,True,False,False,False
Avenida dos Ourives,Outros,63,3,1,1460,2018,Outro,True,False,False,False
Rua Elza Guimaraes,Outros,59,3,1,1500,1958,Outro,True,False,False,False
Avenida Casper Libero,Centro,25,1,0,2100,2571,Outro,False,False,False,True
Rua Dom Macario,Saude,54,2,0,1100,1462,Outro,True,False,False,False
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,2500,2594,Outro,False,True,False,False
Largo do Arouche,Santa Efigenia,80,1,0,2300,2969,Outro,True,False,False,False
Rua Ricardo Avenarius,Paraiso do Morumbi,24,1,0,900,1245,Outro,True,False,False,False
Rua Nova dos Portugueses,Outros,100,3,2,2450,2771,Outro,False,True,False,False
Rua Itamonte,Vila Medeiros,48,2,1,1600,1955,Norte,True,False,False,False
Avenida Antonio Buono,Outros,35,1,0,1110,1153,Outro,False,False,False,True
Avenida Rangel Pestana,Bras,32,1,0,1900,2249,Outro,True,False,False,False
Rua Conego Vicente Miguel Marino,Barra Funda,33,1,0,2200,2624,Oeste,True,False,False,False
Rua Salvador Gaeta,Outros,68,2,2,2426,2574,Outro,False,True,False,False
Rua Casa do Ator,Vila Olimpia,69,2,1,2910,3970,Outro,True,False,False,False
Av.nove de Julho,Bela Vista,25,1,0,2500,3008,Centro,True,False,False,False
Rua Joaquim Afonso de Souza,Outros,110,2,0,1300,1355,Outro,False,True,False,False
Rua Gloria do Goita 335 Apt 112,Outros,29,1,0,1180,1411,Outro,False,False,False,True
Rua Martim Burchard,Bras,44,2,0,2250,2712,Outro,True,False,False,False
Rua Tuiuti,Tatuape,61,2,1,1900,2882,Outro,True,False,False,False
Rua das Palmeiras,Vila Buarque,11,1,0,1560,1904,Outro,False,False,False,True
Rua Sao Lourenco,Outros,64,2,1,2500,2715,Outro,False,True,False,False
Rua Joao Mafra,Outros,56,2,2,1900,2700,Outro,True,False,False,False
Rua Sebastiao Mariano,Outros,60,2,1,1600,1668,Outro,False,True,False,False
Avenida Vila Ema,Vila Prudente,56,2,1,1890,2222,Leste,True,False,False,False
Rua Almaden,Vila Andrade,62,2,1,3300,4354,Sul,True,False,False,False
Avenida Rio Branco,Campos Eliseos,35,1,0,1300,1580,Outro,True,False,False,False
Rua Tanque Velho,Outros,45,1,0,500,551,Outro,False,True,False,False
Rua Itiuba,Outros,47,2,0,1589,1799,Outro,False,True,False,False
Rua Hanna Abduch,Vila Palmeiras,80,2,0,2150,2232,Outro,False,True,False,False
Avenida Guarulhos,Outros,45,2,1,1984,2416,Outro,True,False,False,False
Rua das Violetas,Outros,52,2,1,1800,1879,Outro,True,False,False,False
Rua Sampaio Correa,Outros,46,2,0,900,1075,Outro,True,False,False,False
Avenida Sapopemba,Outros,45,2,1,1300,1575,Outro,True,False,False,False
Avenida Sao Joao,Republica,31,1,0,1300,1350,Outro,True,False,False,False
Rua Elisio de Carvalho,Outros,12,1,0,1122,1208,Outro,True,False,False,False
Rua Arruda Ferreira,Vila Guilherme,20,1,0,1100,1230,Norte,True,False,False,False
Rua Aurora,Santa Ifigenia,31,1,0,1075,1393,Outro,False,False,False,True
