district,count
Bela Vista,352
Vila Mariana,232
Jardim Paulista,220
Centro,178
Pinheiros,159
Consolação,157
Santana,152
Mooca,147
Santo Amaro,146
Brás,141
Liberdade,141
Cerqueira César,140
Vila Andrade,129
República,123
Campos Elíseos,117
Vila Suzana,114
Perdizes,111
Campo Belo,108
Cambuci,104
Tatuapé,98
Vila Prudente,96
Vila Buarque,90
Paraíso,89
Vila Olímpia,87
Barra Funda,83
Vila Regente Feijó,82
Indianópolis,79
Vila Clementino,79
Vila Nova Conceição,77
Ipiranga,76
Centro Histórico de São Paulo,73
Vila Formosa,64
Sé,63
Jabaquara,55
Vila Santa Catarina,53
Vila da Saúde,52
Itaim Bibi,51
Aclimação,50
Taboão,49
Cidade Monções,49
Santa Cecília,47
Planalto Paulista,47
Brooklin Paulista,46
Butantã,46
Água Branca,44
Parque da Mooca,43
Vila Bertioga,43
Santa Efigênia,43
Vila Mascote,42
Vila Guilherme,40
Penha de França,40
Sumarezinho,39
Jardim Leonor,38
Tucuruvi,38
Vila Alpina,38
Lauzane Paulista,37
Mirandópolis,37
Vila Ema,36
Chácara Inglesa,36
Vila Pompéia,36
Vila Romana,36
Lapa,35
Vila Matilde,35
Alphaville Industrial,35
Tamboré,34
Alto da Mooca,34
Vila Leopoldina,34
Vila Guarani (z Sul),33
Vila Congonhas,33
Santa Cecilia,33
Casa Verde,32
Vila Madalena,32
Jardim Oriental,31
Parque Jabaquara,31
Belenzinho,31
Moema,30
Jardim Vila Formosa,30
Vila Parque Jabaquara,30
Saúde,29
Vila Mazzei,29
Cidade Mãe do Céu,29
Jardim Aeroporto,29
Pompeia,29
Vila Isolina Mazzei,29
Vila Invernada,28
Bom Retiro,28
Jaguaré,28
Vila Paulista,28
Sumaré,27
Jardim Ampliação,26
Chácara Santo Antônio (zona Sul),26
Vila Gumercindo,26
Santa Teresinha,26
Rudge Ramos,26
Vila Medeiros,25
Vila Gomes Cardim,25
Jardim Prudência,25
Vila Palmeiras,25
Brooklin,24
Alphaville,24
Paraíso do Morumbi,24
Chácara Belenzinho,23
Bosque da Saúde,23
Vila Esperança,23
Parada Inglesa,22
Vila Ipojuca,22
Quarta Parada,22
Vila Constança,22
Jardim Londrina,22
Vila Maria Alta,22
Alphaville Empresarial,22
Vila Monumento,22
Vila Guilhermina,22
Vila Gustavo,21
Imirim,21
Santa Ifigênia,21
Santa Maria,21
Vila Dom Pedro I,21
Jardim São Paulo(zona Norte),21
Casa Verde Alta,21
Vila Monte Alegre,21
