,R²,RMSE,MAE
Belenzinho,0.7933394328620194,947.2187116703964,710.8699710314573
Pinheiros,0.27336949229116514,1927.7114607669732,1355.9761587561884
Bela Vista,0.3886632890883873,1334.2335857313603,900.5365193081404
Bras,0.3340438351973911,646.4578188822461,480.33413505256294
Brooklin Paulista,0.7321563860804744,1938.2859230260474,1244.1276373372757
Centro,0.4387293136731991,1115.1758877268853,651.257291833848
Piqueri,0.764662860520951,443.88880790964345,306.75910090140616
Vila Aricanduva,0.7541522790694823,672.3379417639476,481.8528313988949
Se,0.31610329863738995,678.1670098546239,518.1190242994842
Tatuape,0.6693818558718404,1179.4872488352353,888.4616200530551
Lauzane Paulista,0.6934213775198197,697.4389724336316,463.9383087224732
Cambuci,0.5905017629611989,626.1488209145447,442.7883840249251
Liberdade,0.42203723794115644,652.5945184234812,484.92645468328897
Cidade Moncoes,0.5683845738184863,2438.8755232431995,1992.588529894173
Agua Branca,0.8417321085466483,969.7149538569763,694.9793139036927
Mooca,0.684404027474455,1353.7998386248714,917.7732883061732
Chacara Inglesa,0.5308223324303935,749.188321945949,554.3204553134001
Saude,0.8068179593215792,717.9348040057007,582.357324884724
Quarta Parada,0.8973336645485146,644.776964952945,541.9270900851543
Santa Efigenia,0.34976042717060274,658.3701024040782,511.0071656387093
Paraiso do Morumbi,0.8427230659576135,1438.4500162984054,1064.0472511051464
Vila Medeiros,0.7634014096871096,505.0833251285233,366.32697905176536
Barra Funda,0.6147402177619996,860.2584933543968,648.4744938706435
Vila Olimpia,0.5195064880420774,1984.1477933853478,1407.9453991736946
Vila Buarque,0.3295723774348819,741.6720764517407,601.8554441047895
Vila Prudente,0.726685638307499,1041.710585021799,725.6796768555174
Vila Andrade,0.5094224031941361,1457.5598697160988,954.8324804565432
Campos Eliseos,0.05816114437769582,622.6023301787304,449.88855409990333
Vila Palmeiras,0.7908429810505004,435.77603281012193,357.15522850276983
Republica,0.6635272022178849,912.8642543296651,631.5497141839109
Vila Guilherme,0.302573078132663,1985.7031383867425,1109.0303557594773
Santa Ifigenia,0.43006237561204663,448.3286732725551,366.6963943902678
Vila Monumento,0.65785364203151,584.9096149960386,390.20446362186885
Vila Alpina,0.8576625650058762,354.22927063760164,273.42438217144314
Sacoma,0.5972968503584929,381.13967360943695,301.7072206959863
Bosque da Saude,0.7508246230614813,730.1922046643093,546.5453001768177
Vila Constanca,0.6869804024896605,518.7268893164181,405.2684839161656
Jardim das Acacias,0.6335525889584642,903.1214438871087,615.1849551975745
Penha de Franca,0.5924209760228372,530.1695571600183,364.5993195053064
Cerqueira Cesar,0.4036176701685106,2624.0241522124447,2007.1360829539806
Santa Teresinha,0.8272835032338604,707.4433062323374,525.4139615411515
Vila Ipojuca,0.6139865433293317,1961.6872118309711,1480.8669196215842
Jaguare,0.3744723460947823,712.2958029742545,559.525242661218
Parada Inglesa,0.8028029510306944,535.9722354751779,371.7379852066959
Ipiranga,0.6184506452435796,1329.719636562627,909.600364451581
Consolacao,0.5650038542284526,1964.646432867004,1353.4764175220953
Vila Suzana,0.6200101027409288,2120.7023141963505,1580.606308826188
Tucuruvi,0.773833361834583,706.0475835531228,542.7714137385066
Cidade Patriarca,0.7684516344134821,263.0104296147277,186.7689800077448
Campo Belo,0.6505917969021796,2176.839441679558,1586.2635674435949
Santa Cecilia,0.6718148663370482,1065.627586239836,654.9200044616894
Vila Mariana,0.3804853545202561,1846.7031701807246,1260.279715771631
Centro Historico de Sao Paulo,0.47615329777694604,726.4766184973657,522.4840275626816
Vila Gumercindo,0.36517753520785945,2061.0622393905464,1084.7741605243637
Sumarezinho,0.7767109031545755,1523.6629034562604,1076.4746272366137
Santana,0.6081973242010665,1185.651198183413,858.965190192887
Vila da Saude,0.45284660523149267,730.4846893616636,568.5682249371828
Vila Mazzei,0.7331830700404649,424.98212617285986,345.26055935595895
Jardim Leonor,0.48641508292614,2779.3153627166466,2173.9709958000212
Santo Amaro,0.7441474688489588,1879.9863564203388,1401.7024224168526
Jardim Iris,0.28162310980205996,771.2778159130794,589.9715677239832
Vila Monte Alegre,0.9318631874210754,442.72798077412017,251.67549142107202
Chacara Belenzinho,0.36690648232139467,1641.0145039472868,1126.070842027292
Planalto Paulista,0.3777547258748363,3581.9280771569374,1969.6366492596637
Taboao,0.5639585434438263,542.0122595589537,403.7685349278441
Jardim Ampliacao,0.17800418282850294,1138.138110177997,667.996005886823
Vila Guarani (z Sul),0.6589518621414456,471.32152388234175,342.38940062270336
Casa Verde,0.7896002856092433,914.4226356199703,691.7457028247281
Vila Mascote,0.5602430607943789,1487.2944550283328,934.7911244271385
Vila Maria Alta,0.6734998939215443,395.48533571663495,300.2960856879228
Vila Leopoldina,0.7880548635499504,1405.814619646454,1077.3928571145518
Vila Santa Catarina,0.44079307168363535,1155.8889154054348,871.0773991890811
Vila Santo Estefano,0.7156600091904836,824.4886076772563,560.8462888897914
Perdizes,0.5142888037826076,1306.0730584183916,884.9429117805555
Vila Clementino,0.5783992149009727,1797.9791633550483,1289.7563634808143
Jardim Paulista,0.5417745888727924,2450.6645090806896,1878.8394270142114
Vila Gomes Cardim,0.5780224950371802,1501.816522539225,924.7059997496307
Jardim Aeroporto,0.6721951778828246,1006.661598113155,844.8200641415017
Rudge Ramos,0.6411727160169745,522.5944408650498,400.5717393818664
Vila Esperanca,0.7072509499799167,312.9729401306088,258.83876593787636
Paraiso,0.5235129044908073,2589.9648399878984,1943.8460746830463
Alto da Mooca,0.6114077884835168,1523.6266419019519,1042.3891362322436
Vila Madalena,0.784728658311706,1816.6763083685746,1378.7993845155547
Indianopolis,0.6123572033636016,1547.796213953786,1097.5596848979808
Vila Ema,0.7489058340839976,338.4436391627634,242.29854822231522
Vila Anglo Brasileira,0.4710547067104315,2644.2840709731654,1817.5741011146997
Brooklin,0.6451176783246644,2333.2898299192207,1537.0717962425572
Casa Verde Alta,0.9715602066601766,403.53638347411726,314.26928002207865
Vila Matilde,0.5610441181421731,542.5062536420965,419.63024446561616
Cidade Mae do Ceu,0.8721997379786501,375.3954142406241,297.7046025982585
Lapa,0.8492848903181583,1392.802397931573,1005.3246337990028
Jardim da Gloria,0.759576966115816,655.8105781979706,576.4004778071154
Chacara Santo Antonio (zona Sul),0.38823155364240447,1576.2266457073074,1180.8961353629713
Vila Sonia,0.5760934679721998,1436.0897373678467,1146.689727833925
Vila Pompeia,0.5794340531491431,1427.3306302352137,1085.449473038833
Jardim Oriental,0.694958963260927,1053.1412828463845,729.3075684791582
Mirandopolis,0.675737279566453,1117.568872780278,863.2234028945543
Vila Nova Mazzei,0.7751050692098721,795.1094408321334,516.4136774643531
Butanta,0.1822842737431154,1300.6970838439333,1019.7496898066295
Jabaquara,0.7871569274828492,1008.4730035782287,702.8607914627968
Jardim Prudencia,0.84982034625393,592.33533134872,510.9563459906716
Vila Congonhas,0.7038940991038366,1826.7325922530524,1429.5265683886385
Agua Fria,0.8798599340910337,1019.2539944686743,773.9993776312988
Vila Isolina Mazzei,0.8606668858759444,334.02409621653396,261.4719879278629
Vila Romana,0.6879270585877156,1711.852670006395,1192.1127483279479
Vila Formosa,0.6698787339531407,678.7909970383386,432.9814467410689
Imirim,0.8382368967940425,464.55391187448635,340.5868435765194
Jardim Sao Paulo(zona Norte),0.6816816803029663,737.7581873557099,582.323986961189
Aclimacao,0.824787681820118,725.536369532273,533.4606116134016
Vila Invernada,0.8679868685820789,628.4949871070008,519.2596009925383
Vila Carrao,0.6472949566766075,985.7871952789416,588.0524610938904
Morumbi,0.8502100557437958,1219.230465315562,998.4670614647687
Vila Regente Feijo,0.4976831730061835,2009.595819279684,1380.092246814289
Vila Guilhermina,0.9298026374886815,157.8657948821729,121.02570429385696
Parque Jabaquara,0.45192327682506683,1288.9783985085905,869.4756780395443
Moema,0.6957746964795688,1791.1285011201144,1435.8901461791588
Alto de Pinheiros,0.8011909595676888,2163.6874899963436,1846.1418649966538
Vila Nova Cachoeirinha,0.8429617525555922,650.0309613489627,479.6075258106841
Bom Retiro,0.10487167885473347,884.0434922367485,651.0785930949667
Vila Bertioga,0.6226482494277144,1460.1473378868263,919.9845570694114
Vila Nova Conceicao,0.6082006371860316,2264.6455359987267,1781.697325622388
Vila Dom Pedro I,0.7058599423228609,497.39386363841504,426.07056076111104
Parque da Mooca,0.6450876940025547,2204.9873283935412,1332.345034153117
Santa Maria,0.7325989374339026,677.0460784127544,501.7190368247271
Itaim Bibi,0.525117996388053,2054.648467029652,1703.465561478787
Jardim Paraiso,0.6681764090013449,1321.1885723705523,706.3402646666996
Sumare,0.7179737576833718,1735.5688636437073,1368.406191884861
Jardim Vila Formosa,0.49697216316103854,1480.5969111308818,1165.3709930153411
Vila Parque Jabaquara,0.4701498993228379,1068.4164820147244,670.3245397871191
Freguesia do O,0.829755353077066,954.039021302344,720.6327744364112
Vila Gustavo,0.8462383066355685,354.07352015237126,261.6613282117378
Pompeia,0.7711232622366214,1107.0362853919628,853.7189558610024
Vila Paulista,0.549138727275608,695.4937529934058,497.5966808791732
Jardim Londrina,0.8905666150364626,1102.0635643280332,924.4271799563277
Jardim Japao,0.8850129781902353,285.4573373518652,211.65115870578268
Alphaville Empresarial,0.8372955031811972,1680.90826570392,1361.38408042452
Alphaville,0.7170539390967916,2060.9796861723835,1606.8656961694094
Tambore,0.8917510159784289,1169.3541206999098,894.3433379622373
Alphaville Industrial,0.8518307234693312,1120.4374067251265,766.2701023306565
