district,count
Retiro Morumbi,1
Vila Sao Luiz (valparaizo),1
Alphaville Conde Ii,1
Jardim Barueri,1
Vila Silvia,1
Jardim Colorado,1
Cidade Luz,1
Chácara São João,1
Vila Nossa Senhora de Fátima,1
Vila Rio,1
Vila São Luís,1
Vila Maracanã,1
Chácara Meyer,1
Jardim Ana Lúcia,1
Jardim Três Marias,1
Jardim Maraba,1
Vila Sacadura Cabral,1
Vila Divina Pastora,1
Jardim Lourdes (zona Sul),1
Silveira,1
Vila Franci,1
Jardim Santa Bárbara,1
Vila Costa Melo,1
Vila Catupia,1
Santa Inês ,1
Jardim Santa Efigenia,1
Vila Maricy,1
Vila Gabriel,1
Vila Guarani (Zona Sul),1
Vila Capitao Rabelo,1
Vila Fidelis Ribeiro,1
Parque dos Bancários,1
Vila Progresso (zona Norte),1
Jardim Valeria,1
Vila das Merces ,1
Horto Florestal,1
Vila Olímpia ,1
Jardim Santo Antônio,1
Vila Arapua,1
Jardim São Judas Tadeu,1
Vila Santo Antônio,1
Suísso,1
Cidade Brasil,1
Jardim Patente,1
Vila Hamburguesa,1
Vila Esplanada,1
Parque Independencia,1
Vila Lucinda,1
Higienópolis ,1
Jardim Bandeirantes (zona Norte),1
Vila Fiuza,1
Jardim Maria Aparecida,1
Vila Antônio dos Santos,1
Vila Sao Nicolau,1
Jardim Anny,1
Suiço,1
Vila Ester,1
Jardim Zaira,1
Conjunto City Jaragua,1
Jardim Imperador (zona Leste),1
Boaçava,1
Aricanduva,1
Vila Zamataro,1
Parque Regina,1
Jardim Haia do Carrao,1
Vila Mercedes,1
Vila das Palmeiras,1
Jardim Glória,1
Agua Branca,1
Jardim America da Penha,1
Vila Matiilde,1
Vila Maria Zélia,1
Jardim Alfredo,1
Jardim Dinorah,1
Vila Dora,1
Jardim Mimar,1
Vila Sirene,1
Jardim Silvestre,1
Água Funda,1
Jardim Santa Edwirges,1
Recanto Morumbi,1
Vila Romano,1
Vila Granada ,1
Parque do Estado,1
Vila Irmãos Arnoni,1
Vila Nelson,1
Vila Amalia (zona Leste),1
Cupecê,1
Jardim Andaraí,1
Jardim Maia,1
Jardim Panorama (zona Leste),1
Chácara Itaim,1
Vila Tijuco,1
Jordanópolis,1
Jardim Monte Libano,1
Vila São Judas Tadeu,1
Itaquaciara,1
Jardim Sao Jose,1
Parque Penha,1
Jardim Dona Sinha,1
Vila Lúcia Elvira,1
Vila Nogueira,1
Bras,1
Centro Capital,1
Varzea do Glicerio,1
Vila Cristalia,1
Jardim Nossa Senhora Aparecida,1
Vila Fernandes,1
Vila Harmonia,1
Vila Prado,1
Parque Itaberaba,1
Jardim Vergueiro,1
Vila Metalúrgica,1
Jardim Maringa,1
Jardim das Nações,1
Belém,1
Jardim Tango,1
Vila Gopouva,1
Jardim Jaçanã,1
Jardim Olinda,1
Parque Nações Unidas,1
São João Clímaco,1
Vila Barros,1
Chácara Nossa Senhora do Bom Conselho,1
Vila America,1
Jardim Vivan,1
Chácara Tatuapé,1
Jardim Guarulhos,1
Jardim Morro Verde,1
Vila Diva,1
Jardim Analia Franco,1
Vila Lucia Elvira,1
